sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,victory,combosExecuted,perfectDodges,hitsDealt,hitsTaken,playerAccuracy,avgReactionTime,combatEfficiency,damagePerSecond,damageIntakeRate,survivalRate,comboRate,dodgeRate,reactionScore,combatPerformanceIndex,efficiencyPerAccuracy
c373e393-d667-40c9-b078-586d4f1ff738,6,Fighting,Hard,20.83,1000,1,True,12/1/2026 0:32,False,2.0,1.0,7.0,6.0,1.0,0.04211235,1.0,0.3360537686029765,0.28804608737397985,0,5.760921747479597,2.8804608737397985,23.195209725287533,0.3734817057908752,0.9090909090909091
88f5f9aa-43ac-47f3-8bbc-4f466e36be2a,7,Fighting,Easy,28.48,1994,0,True,12/1/2026 22:30,True,4.0,2.0,10.0,5.0,0.5882353,0.572176,1.6666666666666667,0.35112359550561795,0.17556179775280897,1,8.426966292134832,4.213483146067416,1.7446648149957429,0.2886632818275233,2.421652400954538
4dc45aae-83fc-4ce4-ab59-84f9768f918f,7,Fighting,Medium,27.82,771,1,True,12/1/2026 22:31,False,1.0,1.0,9.0,10.0,0.6428571,0.7010441,0.8181818181818182,0.3235082674335011,0.35945363048166784,0,2.156721782890007,2.156721782890007,1.424411942212747,0.23722504740889508,1.1013986649408323
eb88d3f6-98d8-4293-97b4-84528f56ea73,7,Fighting,Hard,17.04,675,1,True,12/1/2026 22:32,False,0.0,0.0,3.0,6.0,0.75,0.0,0.42857142857142855,0.17605633802816903,0.35211267605633806,0,0.0,0.0,1000.0,0.23489010989010986,0.5042016806722689
0e9e92f9-31db-4ef5-9a51-cdb536f2d665,8,Fighting,Easy,16.75,1935,0,True,12/1/2026 22:41,True,5.0,0.0,10.0,3.0,0.7692308,0.0,2.5,0.5970149253731343,0.1791044776119403,1,17.91044776119403,0.0,1000.0,0.390219424972573,2.8761060928812006
1f3cbd51-518d-43ce-94b8-f312be47d4dd,8,Fighting,Medium,40.25,1495,0,True,12/1/2026 22:42,True,1.0,0.0,13.0,8.0,0.5909091,0.0,1.4444444444444444,0.32298136645962733,0.19875776397515527,1,1.4906832298136645,0.0,1000.0,0.21907535249827464,2.0906432473453376
6c6c108e-c83a-4b6d-822d-dee2a476fa1c,8,Fighting,Hard,23.56,683,1,True,12/1/2026 22:43,False,1.0,0.0,4.0,6.0,0.6666667,0.0,0.5714285714285714,0.16977928692699493,0.2546689303904924,0,2.546689303904924,0.0,1000.0,0.22765579130603597,0.7453415825006766
8b38c2ca-e71d-4f6a-be38-a8c0f6245a52,9,Fighting,Easy,21.64,2550,0,True,14/1/2026 16:45,True,5.0,5.0,10.0,0.0,1.0,0.5669252,10.0,0.4621072088724584,0.0,1,13.863216266173751,13.863216266173751,1.7607952596574337,0.6945961104001769,9.09090909090909
dd62bb30-502c-4d01-af0c-76843353e67a,9,Fighting,Medium,52.48,2811,0,True,14/1/2026 16:46,True,4.0,11.0,13.0,5.0,0.7222222,0.4396928,2.1666666666666665,0.24771341463414637,0.09527439024390244,1,4.573170731707317,12.576219512195124,2.26915438600313,0.3698154378820096,2.6351352063550055
760bfbe2-9adb-4bd6-9406-40877ae2b90b,9,Fighting,Hard,78.49,2850,1,True,14/1/2026 16:48,False,5.0,21.0,15.0,6.0,1.0,0.3023576,2.142857142857143,0.19110714740731305,0.07644285896292521,0,3.8221429481462614,16.053000382214297,3.2964395815367737,0.46966554771370667,1.9480519480519478
967dede8-241e-464f-8993-3b5b48c5e26f,11,Fighting,Easy,15.83,2317,0,True,17/1/2026 18:26,True,4.0,4.0,10.0,3.0,0.8333333,1.144394,2.5,0.6317119393556538,0.18951358180669614,1,15.16108654453569,15.16108654453569,0.8730620205798181,0.48685660218826093,2.6785715242346972
