sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,lapsCompleted,bestLapTime,avgLapTime,totalRaceTime,collisions,maxSpeed,avgSpeed,consistency,feedback,speedEfficiency,collisionRate,lapTimeVariance,completionRate,drivingSmoothness,timeEfficiency,speedConsistencyScore,racingPerformanceIndex,cleanRacingScore
6596020c-af7f-4e3e-8fb1-3f5078424faf,17,Racing,Medium,116.04,500,0,True,26/1/2026 4:09,3.0,38.49997,38.67909,116.0373,12.0,40.0,39.27773,0.9957461,Balanced,0.9819432499999999,3.0,0.1791200000000046,1,0.3225806451612903,0.9928023066038939,0.9777661616088249,0.9558068049999999,0.8125
6d34d4f7-3b55-4bc3-a3b8-8a6422920150,18,Racing,Medium,121.06,450,0,True,26/1/2026 4:21,3.0,38.58002,40.35321,121.0596,13.0,40.0,37.88009,0.9430316,Balanced,0.94700225,3.25,1.7731899999999996,1,0.29850746268656714,0.9536948983776565,0.8930530470211,0.926385155,0.796875
e5b84dd8-5f79-445b-a509-f5470e8bac9f,19,Racing,Medium,116.28,900,0,True,26/1/2026 4:42,3.0,38.44,38.75967,116.279,4.0,40.0,39.52842,0.9930493,TooEasy,0.9882104999999999,1.0,0.3196700000000021,1,0.9090909090909091,0.9892003714905453,0.98134174527765,0.98187794,0.9375
fa58e564-f5f0-4bd8-9bf5-0d189fd795f0,20,Racing,Medium,118.36,700,0,True,26/1/2026 19:07,3.0,38.63998,39.45331,118.3599,8.0,40.0,38.7486,0.9803044,Balanced,0.9687150000000001,2.0,0.8133300000000006,1,0.47619047619047616,0.9769088857544412,0.9496355768460001,0.9597058199999999,0.875
4d89c796-49db-4a75-af1d-6e24935fa1dc,21,Racing,Medium,116.02,650,0,True,26/1/2026 23:36,3.0,38.53677,38.67224,116.0167,9.0,40.0,39.25,0.9970019,Balanced,0.98125,2.25,0.1354700000000051,1,0.425531914893617,0.99392684044048,0.978308114375,0.96535057,0.859375
05f0a36a-cf8c-4e35-971e-e89a12b634ea,22,Racing,Medium,121.78,300,0,True,26/1/2026 23:46,3.0,39.26001,40.5929,121.7787,16.0,40.0,37.83393,0.9603254,TooHard,0.9458482500000001,4.0,1.332889999999999,1,0.24390243902439027,0.9647877148102003,0.9083220990205501,0.921852095,0.75
e808e485-4c5d-4861-a572-3ab5e6b316ff,23,Racing,Medium,116.32,800,0,True,27/1/2026 14:55,3.0,38.23999,38.77319,116.3196,6.0,40.0,39.4106,0.9901947,Balanced,0.9852650000000001,1.5,0.5332000000000008,1,0.625,0.9837111387051075,0.9756041810955001,0.97388791,0.90625
8ce5db3c-b36b-4aee-acd3-a99c095e4314,24,Racing,Medium,117.83,300,0,True,27/1/2026 15:04,3.0,38.60004,39.27777,117.8333,16.0,40.0,39.09784,0.979984,TooHard,0.9774459999999999,4.0,0.6777299999999968,1,0.24390243902439027,0.9802495164149723,0.9578814408639998,0.9372290000000001,0.75
a9b1629b-ef6a-49ac-90ea-1d22caf773d4,25,Racing,Medium,117.77,750,0,True,27/1/2026 15:42,3.0,38.67999,39.25798,117.7739,7.0,40.0,38.94586,0.9882013,Balanced,0.9736465000000001,1.75,0.5779900000000069,1,0.5405405405405405,0.9827737602387112,0.9621587370404501,0.96667934,0.890625
849789dd-04a7-43f6-a357-8f1d249092da,26,Racing,Medium,115.28,950,0,True,27/1/2026 15:55,3.0,38.0,38.42619,115.2786,3.0,40.0,39.54601,0.9910731,TooEasy,0.9886502500000001,0.75,0.4261899999999983,1,1.1764705882352942,0.9863420182478465,0.9798246680832751,0.984542005,0.953125
