sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,lapsCompleted,bestLapTime,avgLapTime,totalRaceTime,collisions,maxSpeed,avgSpeed,consistency,speedEfficiency,collisionRate,lapTimeVariance,completionRate,drivingSmoothness,timeEfficiency,speedConsistencyScore,racingPerformanceIndex,cleanRacingScore
25b06afa-8e8c-4a60-bbeb-124d962fd263,6,Racing,Easy,152.36,1000,0,True,12/1/2026 0:35,3.0,50.23998,50.78585,152.3575,2.0,30.0,29.64653,0.9889514,0.9563396774193548,0.5,0.5458700000000007,1.181412444211079,1.6666666666666667,0.9892320551481338,0.9457734628594193,0.7235678905590043,1.6482523333333334
e9f20f06-0493-4766-b522-4fe788971b3c,6,Racing,Medium,122.88,200,0,True,12/1/2026 0:37,3.0,38.31998,40.95998,122.8799,18.0,40.0,36.99871,0.9446009,0.9024075609756098,4.5,2.6400000000000006,1.46484375,0.2173913043478261,0.9355240035760863,0.8524149942643658,0.718931972580859,0.20534802173913044
047d472c-f148-46b5-b7f8-2ac7295cae33,6,Racing,Hard,125.0,900,0,True,12/1/2026 0:40,3.0,39.29999,41.66525,124.9957,4.0,45.0,36.69645,0.9588065,0.7977489130434783,1.0,2.3652599999999993,1.44,0.9090909090909091,0.943209192091921,0.7648868431940218,0.7058646714426877,0.8716422727272727
803d8292-4e48-47ca-879c-1fbc0e6b70b5,7,Racing,Easy,152.9,350,0,True,12/1/2026 22:35,3.0,50.01998,50.96542,152.8963,15.0,30.0,29.51606,0.9853881,0.9521309677419355,3.75,0.9454400000000049,1.1772400261608893,0.2597402597402597,0.98143012595352,0.9382185252543871,0.6927662006456585,0.255944961038961
67b4b590-4164-4293-8b3f-5f4d84fccb0b,7,Racing,Medium,80.21,0,1,False,12/1/2026 22:37,1.0,40.49982,40.49982,80.20743,26.0,40.0,37.1819,1.0,0.9068756097560975,13.0,0.0,0.7480364044383494,0.07633587786259542,0.999975309141889,0.9068756097560975,0.6073567034023354,0.07633587786259542
17542687-2689-4b32-8165-de0a0195a143,7,Racing,Hard,56.16,0,1,False,12/1/2026 22:38,1.0,37.45824,37.45824,56.156,23.0,45.0,40.68964,1.0,0.8845573913043477,11.5,0.0,1.0683760683760684,0.08620689655172414,0.9999733043169056,0.8845573913043477,0.6572651951588308,0.08620689655172414
3aac336c-8fa2-4c48-8054-f3eee526d7dd,8,Racing,Easy,153.34,1100,0,True,12/1/2026 22:46,3.0,50.87998,51.11207,153.3362,0.0,30.0,29.78556,0.9938531,0.9608245161290323,0.0,0.23208999999999946,1.173862005999739,10.0,0.9954397182560156,0.9549184239108388,0.8912779862678131,9.938531000000001
cf569cc9-2c8d-4b57-aba0-70f4082bae39,8,Racing,Medium,118.72,50,0,True,12/1/2026 22:48,3.0,38.75998,39.57174,118.7152,21.0,40.0,38.6959,0.9795647,0.9438024390243903,5.25,0.8117599999999996,1.5161725067385445,0.1869158878504673,0.9794616192864078,0.9245155530421951,0.7462714771761798,0.18309620560747664
968a6e33-841f-4135-812f-2cbf18809b1a,8,Racing,Hard,37.11,0,1,False,12/1/2026 22:49,0.0,0.0,0.0,37.10745,27.0,45.0,36.12452,1.0,0.785315652173913,27.0,0.0,0.0,0.03690036900369004,0.0,0.785315652173913,0.447066920423552,0.03690036900369004
f42f6a4d-9a5e-40f7-acb2-2cc83c41fefe,9,Racing,Easy,154.38,1100,0,True,14/1/2026 16:53,3.0,50.91998,51.45878,154.3763,0.0,30.0,29.78848,0.9892846,0.9609187096774193,0.0,0.5387999999999948,1.165954139137194,10.0,0.9895102544161675,0.9506220813357419,0.8887945118344345,9.892845999999999
7fc8050b-3544-4a75-b867-db1185e26f90,9,Racing,Medium,120.01,500,0,True,14/1/2026 16:56,3.0,39.73129,40.00375,120.0113,12.0,40.0,38.68962,0.9944001,0.9436492682926829,3.0,0.27245999999999526,1.4998750104157985,0.3225806451612903,0.9931643117379813,0.9383649267551707,0.7498423817741634,0.3207742258064516
1a4dd88f-532d-48f5-a057-caa214cd71ec,9,Racing,Hard,108.31,150,0,True,14/1/2026 16:58,3.0,34.63998,36.10489,108.3147,19.0,45.0,41.94281,0.9623606,0.9118002173913043,4.75,1.4649099999999962,1.661896408457206,0.2061855670103093,0.9593996990518723,0.8774806042888261,0.7595072357877459,0.19842486597938147
22cd3bb9-a5e1-4b68-8cb6-25adee569017,11,Racing,Easy,154.08,1000,0,True,20/1/2026 20:09,3.0,50.99998,51.35918,154.0775,2.0,30.0,29.83909,0.9909227,0.9625512903225806,0.5,0.3592000000000013,1.1682242990654206,1.6666666666666667,0.9929867847036362,0.9538139234949354,0.7233373449326701,1.6515378333333335
26e90134-6fdd-457a-9653-37e9df98e486,11,Racing,Medium,119.0,300,0,True,20/1/2026 20:18,3.0,38.75999,39.66658,118.9997,16.0,40.0,38.72359,0.9808388,0.9444778048780488,4.0,0.9065900000000013,1.5126050420168067,0.24390243902439027,0.977120106646284,0.9263804767632196,0.7472828302521008,0.23922897560975612
959c2918-7b67-4311-9427-22bc52c90d58,11,Racing,Hard,106.38,0,0,True,20/1/2026 20:21,3.0,35.33998,35.45951,106.3785,31.0,45.0,43.12989,0.9952332,0.9376063043478261,7.75,0.11953000000000458,1.6920473773265652,0.12738853503184713,0.9966010077125229,0.9331369226162609,0.7778050241141586,0.12678129936305732
9d670b97-0f76-45d7-969b-af9539b005ca,10,Racing,Easy,155.42,1100,0,True,20/1/2026 20:46,3.0,51.53998,51.80604,155.4181,0.0,30.0,29.81642,0.9961511,0.96182,0.0,0.26606000000000307,1.1581521039763223,10.0,0.9948451021328375,0.958118051002,0.8893898281463133,9.961511
51b2c6d1-e9ca-4b6f-9611-7c592077a8fc,10,Racing,Medium,119.42,400,0,True,20/1/2026 20:49,3.0,38.54001,39.80635,119.4191,14.0,40.0,38.29867,0.9635291,0.9341139024390244,3.5,1.2663399999999996,1.5072852118573103,0.2777777777777778,0.9681631658475132,0.9000459277145609,0.7401237337318834,0.2676469722222222
33385221-96d3-40e9-979e-2603243b216f,10,Racing,Hard,108.96,0,0,True,20/1/2026 20:51,3.0,35.64001,36.31837,108.9551,38.0,45.0,42.39887,0.9867831,0.9217145652173914,9.5,0.678360000000005,1.6519823788546257,0.10416666666666667,0.9812948297285993,0.9095323559803696,0.7643399082279895,0.10278990625000001
