speedEfficiency,collisionRate,drivingSmoothness,timeEfficiency,racingPerformanceIndex,cleanRacingScore,consistency,lapsCompleted,feedback
0.99258575,0.5,1.6666666666666667,0.985490205129894,0.988535265,0.96875,0.9900318,3.0,TooEasy
0.98327225,0.5,1.6666666666666667,0.9768688143943072,0.982082625,0.96875,0.9778365,3.0,TooEasy
0.99221,0.5,1.6666666666666667,0.9907939554189714,0.98924805,0.96875,0.9927835,3.0,TooEasy
0.8970517499999999,7.0,0.1408450704225352,0.9169361759150214,0.8479675550000001,0.5625,0.8878401,3.0,TooHard
0.94943425,4.0,0.2439024390243902,0.9680103202045328,0.926674295,0.75,0.9728134,3.0,TooHard
0.978,1.5,0.625,0.9842288315174248,0.97173445,0.90625,0.9902815,3.0,Balanced
0.95768375,3.5,0.2777777777777778,0.9904847579343204,0.941094945,0.78125,0.9917994,3.0,TooHard
0.9286115,9.0,0.1098901098901098,0.0,0.66608345,0.0,1.0,0.0,Balanced
0.97573025,1.5,0.625,0.983419951651468,0.970657165,0.90625,0.9889603,3.0,Balanced
0.99115175,0.0,10.0,0.9912666599951828,0.995564785,1.0,0.9940642,3.0,TooEasy
0.812095,8.0,0.1234567901234568,0.0,0.6436284999999999,0.0,1.0,0.0,TooHard
0.8097412500000001,10.0,0.099009900990099,0.0,0.617922375,0.0,1.0,0.0,Balanced
0.990909,0.75,1.1764705882352942,0.990105970734676,0.98479906,0.953125,0.9896712,3.0,TooEasy
0.8916412499999999,9.0,0.1098901098901098,0.9974832814385964,0.654992375,0.0,1.0,1.0,TooHard
0.971173,7.0,0.1408450704225352,0.9974681602158344,0.7038519000000001,0.0,1.0,1.0,TooHard
0.9597645,12.0,0.0826446280991735,0.0,0.6379293500000001,0.0,1.0,0.0,TooHard
0.8905,8.0,0.1234567901234568,0.0,0.66715,0.0,1.0,0.0,TooHard
0.96991,2.75,0.3508771929824561,0.9730569706979504,0.94767834,0.828125,0.9702678,3.0,TooHard
0.981981,1.0,0.9090909090909092,0.9890726936101382,0.97925522,0.9375,0.9905364,3.0,TooEasy
0.97646025,1.75,0.5405405405405405,0.9798132395550402,0.965395715,0.890625,0.9811088,3.0,Balanced
0.96804575,5.666666666666667,0.1734104046242774,0.9913113754201092,0.7177305916666665,0.0,0.993834,2.0,TooHard
0.95803375,14.0,0.0709219858156028,0.0,0.612410125,0.0,1.0,0.0,TooHard
0.981921,1.75,0.5405405405405405,0.9919819697008204,0.97080314,0.890625,0.9936728,3.0,Balanced
0.96828775,2.5,0.3846153846153846,0.9757639226821452,0.951437165,0.84375,0.9740028,3.0,Balanced
0.98728975,1.0,0.9090909090909092,0.984495705117977,0.980800715,0.9375,0.9903793,3.0,TooEasy
0.9729925,1.75,0.5405405405405405,0.9806029131104158,0.96417917,0.890625,0.9805214,3.0,Balanced
0.732328,5.0,0.196078431372549,0.0,0.6571984,0.0,1.0,0.0,TooHard
0.98530975,0.0,10.0,0.9833256206435452,0.991051225,1.0,0.984861,3.0,TooEasy
0.9436615,9.0,0.1098901098901098,0.0,0.67059845,0.0,1.0,0.0,TooHard
