sessionID,playerID,gameType,difficultyLevel,sessionDuration,score,deaths,completed,timestamp,victory,combosExecuted,perfectDodges,hitsDealt,hitsTaken,playerAccuracy,avgReactionTime,feedback,combatEfficiency,damagePerSecond,damageIntakeRate,survivalRate,comboRate,dodgeRate,reactionScore,combatPerformanceIndex,efficiencyPerAccuracy
0097a5dc-a42c-4c05-a20b-cb4742e9070f,22,Fighting,Medium,42.38,2606,0,TRUE,26/1/2026 23:40,TRUE,5,8,13,0,0.8125,0.3608017,TooEasy,13,0.306748466,0,1,7.07881076,11.32609722,2.763945001,0.664577874,14.24657534
cd845804-6298-4741-9de4-1118d18c6668,23,Fighting,Medium,42.81,825,1,TRUE,27/1/2026 14:50,FALSE,2,2,12,10,0.75,0.09316444,Balanced,1.090909091,0.280308339,0.233590283,0,2.803083392,2.803083392,10.61972014,0.287700859,1.28342246
3b7ec94a-abdb-4a16-bc41-43631460f745,24,Fighting,Medium,35.36,2650,0,TRUE,27/1/2026 14:58,TRUE,8,6,13,2,1,0.3060404,TooEasy,4.333333333,0.367647059,0.056561086,1,13.57466063,10.18099548,3.256900395,0.560906401,3.939393939
f4cbae23-26ae-42d1-a735-e5a24ec62be2,25,Fighting,Medium,40.04,2792,0,TRUE,27/1/2026 15:36,TRUE,4,11,13,4,0.6842105,0.5530367,Balanced,2.6,0.324675325,0.0999001,1,5.994005994,16.48351648,1.804934583,0.409869942,3.315436353
e8bc636f-42ee-4807-bc39-801255a61762,26,Fighting,Medium,59.79,2614,0,TRUE,27/1/2026 15:48,TRUE,4,8,13,8,0.9285714,0.3106689,Balanced,1.444444444,0.217427663,0.133801639,1,4.014049172,8.028098344,3.208533158,0.39027228,1.404321027
8797b740-dda7-46b2-8d32-7df154901dd1,27,Fighting,Medium,35.36,2714,0,TRUE,27/1/2026 16:08,TRUE,8,7,13,2,0.9285714,0.3170515,TooEasy,4.333333333,0.367647059,0.056561086,1,13.57466063,11.87782805,3.144144895,0.549889412,4.21296308
02fd4e72-0dec-46a3-861a-533a398d156f,28,Fighting,Medium,54.2,2932,0,TRUE,28/1/2026 15:14,TRUE,6,11,13,7,0.7647059,0.4632939,Balanced,1.625,0.239852399,0.129151292,1,6.642066421,12.17712177,2.153808181,0.389794386,1.879251662
bd739d6f-7d50-45ca-8300-ac5de2793646,29,Fighting,Medium,37,907,1,TRUE,28/1/2026 15:23,FALSE,2,3,10,10,0.7142857,0.7041423,Balanced,0.909090909,0.27027027,0.27027027,0,3.243243243,4.864864865,1.418153471,0.28863347,1.116427452
4069bc1d-f40d-440a-8bdc-f831b595e664,30,Fighting,Medium,36.13,736,1,TRUE,1/2/2026 19:26,FALSE,2,2,12,10,0.5714286,0.1859398,TooHard,1.090909091,0.332133961,0.276778301,0,3.321339607,3.321339607,5.349315662,0.241067549,1.624758151
6242b200-0b96-45cc-8c99-99d4d54dcae5,31,Fighting,Medium,36.77,450,1,TRUE,4/2/2026 15:05,FALSE,1,0,9,10,0.5,0,TooHard,0.818181818,0.244764754,0.271960838,0,1.631765026,0,1000,0.180713888,1.363636364
29f316dd-c989-4e74-9fe8-1e37cfa08e35,32,Fighting,Medium,48.06,536,1,TRUE,4/2/2026 15:06,FALSE,0,1,8,10,0.5714286,0.4589157,TooHard,0.727272727,0.166458593,0.208073242,0,0,1.248439451,2.17431151,0.195872093,1.083172101
9c2a3f5d-ffc3-4b19-a0c9-a2fd75b366a4,33,Fighting,Medium,33.55,736,1,TRUE,4/2/2026 15:07,FALSE,2,2,8,10,0.5714286,1.077427,TooHard,0.727272727,0.238450075,0.298062593,0,3.576751118,3.576751118,0.927276487,0.23609524,1.083172101
13b08b62-94f2-47c6-978e-5186c1cdc675,34,Fighting,Medium,40.48,583,1,TRUE,4/2/2026 15:08,FALSE,0,1,10,10,0.6666667,0.4397125,Balanced,0.909090909,0.247035573,0.247035573,0,0,1.482213439,2.269052954,0.230073741,1.185770699
cf47d0e3-1f25-4c91-90fb-f267bd9d9f7e,35,Fighting,Medium,34.99,436,1,TRUE,4/2/2026 15:13,FALSE,0,0,8,10,0.5714286,0,TooHard,0.727272727,0.228636753,0.285795942,0,0,0,1000,0.188211797,1.083172101
4dd34698-1981-42fc-9caa-fff89faf8c3b,36,Fighting,Medium,34.74,679,1,TRUE,4/2/2026 15:14,FALSE,2,2,11,10,0.4583333,0.4729919,Balanced,1,0.316637881,0.287852619,0,3.454231434,3.454231434,2.109740694,0.206820134,1.791044883
0e73c7b2-404a-48ce-89a0-d2f3b5821601,37,Fighting,Medium,30.01,1964,0,TRUE,4/2/2026 15:15,TRUE,1,3,13,9,0.9285714,0.2203064,Balanced,1.3,0.433188937,0.299900033,1,1.999333555,5.998000666,4.518622146,0.359872734,1.263888924
2771b997-3b5d-4c2b-a9f0-e52ff3e8b47c,38,Fighting,Medium,35.01,1742,0,TRUE,4/2/2026 15:16,TRUE,3,1,13,8,0.6842105,0.8289795,Balanced,1.444444444,0.371322479,0.228506141,1,5.141388175,1.713796058,1.204849035,0.286395014,1.841909085
6d3195de-27f9-49cd-b2a4-86505b554752,39,Fighting,Medium,37.86,486,1,TRUE,4/2/2026 15:24,FALSE,1,0,12,10,0.5714286,0,Balanced,1.090909091,0.316957211,0.264131009,0,1.584786054,0,1000,0.208095505,1.624758151
b4faa4ba-5d50-4032-aa0a-a5f8c33fad2c,40,Fighting,Medium,31.69,381,1,TRUE,4/2/2026 15:25,FALSE,0,0,6,10,0.4615385,0,TooHard,0.545454545,0.189334175,0.315556958,0,0,0,1000,0.151048963,0.971357343
01148ca5-5ce8-42d8-a90f-3672855a77ff,41,Fighting,Medium,25.71,633,1,TRUE,4/2/2026 15:25,FALSE,0,0,6,10,0.6666667,0,TooHard,0.545454545,0.233372229,0.388953715,0,0,0,1000,0.212587423,0.71146242
9d63c8fb-9f50-43bd-b041-b026b7b84a1d,42,Fighting,Medium,42.46,1286,1,TRUE,4/2/2026 15:26,FALSE,3,7,12,10,0.5714286,0.4671457,TooHard,1.090909091,0.282618935,0.23551578,0,4.239284032,9.891662741,2.13608712,0.288038866,1.624758151
19ee07c4-b92e-4384-aec0-5d9d38700cbd,43,Fighting,Medium,31.95,468,1,TRUE,4/2/2026 15:27,FALSE,0,0,7,10,0.6363636,0,TooHard,0.636363636,0.219092332,0.312989045,0,0,0,1000,0.205594395,0.864197574
a1f46824-c5a1-41b6-a71c-23a64d6cb9ba,44,Fighting,Medium,52.69,2482,0,TRUE,4/2/2026 15:28,TRUE,3,8,13,7,0.7647059,0.6342239,Balanced,1.625,0.246726134,0.132852534,1,3.416208009,9.109888024,1.574248072,0.347581793,1.879251662
2828b4b0-b902-4113-a2e6-8f94c186b3bc,45,Fighting,Medium,32.95,608,1,TRUE,4/2/2026 15:29,FALSE,1,1,8,10,0.6153846,0.6513062,TooHard,0.727272727,0.242792109,0.303490137,0,1.820940819,1.820940819,1.533022375,0.225776283,1.016617813
bcd63a04-7dda-49ca-8a16-68fc36edcc30,46,Fighting,Medium,336.31,1925,0,TRUE,4/2/2026 15:36,TRUE,4,4,13,8,0.65,1.074188,Balanced,1.444444444,0.038654813,0.023787577,1,0.713627308,0.713627308,0.930069904,0.237886957,1.925925926
